CodCLiente,Cliente,Direccion,Telefono,latitud,longitud
40,Coronado Amador Figueroa Velasco,"Boulevard Yucatán 851 Interior 672
Vieja Montenegro, CAMP 87915-8342",131.935.4630,-1.0561160121404733,-79.34925400351446
41,Leiva Elvira Ceja González,"Eje vial Querétaro 090 Edif. 288 , Depto. 258
Nueva República de Macedonia del Norte, HGO 06909-2344",(841)841-4303,-1.011773163709714,-79.29527601982969
42,Villalpando Luis Manuel Mares,"Circunvalación Barajas 915 Interior 443
San Rubén los altos, YUC 50105",1-048-518-6889,-1.031686966557191,-79.55139870079425
43,Ríos Mtro. Eugenio Casillas,"Privada Campeche 317 Edif. 304 , Depto. 266
San Sessa los altos, SIN 98017-9687",274-750-3972,-1.2259844794152044,-79.53694678644904
44,Preciado Ramón Agustín Maya Cabán,"Avenida Norte Tafoya 519 988
San Conchita de la Montaña, SLP 10479-7965",575.952.2389,-0.9930972292171859,-79.33114481523049
45,Guerra Gonzalo Florencia Valles Gamez,"Circuito Girón 475 Edif. 645 , Depto. 746
San Ramiro los altos, AGS 50440-1816",08900522584,-0.8410650336525335,-79.5827309290575
46,Gutiérrez Cynthia Almaraz,"Andador Baja California 269 339
San Adalberto los altos, TLAX 42400-2771",883-994-8870,-1.0425168907158526,-79.34027855170848
47,Rodríquez Sr(a). Bianca Vallejo,"Boulevard Distrito Federal 241 Interior 816
San Cristal los bajos, TAMPS 24352-7360",(897)967-5346x556,-1.0642342215945317,-79.5746865273515
48,Bustamante Ing. Rodrigo Lomeli,"Corredor Montenegro 516 Edif. 020 , Depto. 451
San Alejandra los altos, AGS 94472",1-061-356-1714,-1.224805791112352,-79.37731483896437
49,Ontiveros Olga Catalina Girón Velásquez,"Pasaje Aguilera 836 Edif. 989 , Depto. 699
Nueva Irlanda, HGO 31193",1-122-658-5961x997,-0.9861870744442307,-79.48014909120865
50,Candelaria Teodoro Karina Amador,"Avenida Norte Acevedo 618 850
Nueva Paraguay, TLAX 31472-6321",034-063-4883,-1.0540234675964777,-79.66067972469054
51,de la Garza Alfredo Lozada,"Calle Norte Adame 540 Edif. 900 , Depto. 760
Nueva Irlanda, GTO 93270",373-501-8498,-1.0813978549027978,-79.54082990797919
52,Crespo Sr(a). Emilio Santiago,"Continuación Tijerina 812 Interior 613
San Eloisa de la Montaña, MICH 88971",(097)301-8477,-0.9519881769023842,-79.62365587837493
53,Rojo Lorena Lebrón,"Pasaje de León 840 930
Vieja Suiza, YUC 11100-9524",+07(1)1098902602,-0.9705426511576737,-79.33765496374158
54,Maestas Gloria Olivia Pérez Granados,"Periférico Reino Unido de Gran Bretaña e Irlanda del Norte 033 Edif. 883 , Depto. 539
Vieja Rumania, ZAC 74818",+81(9)1877627429,-0.9200079483301671,-79.29388984591532
55,Terrazas Rosario Salma Vallejo,"Ampliación Valdés 232 Interior 379
Nueva República Unida de Tanzanía, NAY 18350-6083",375-170-1355,-1.0642741500279405,-79.65021388712378
56,Sepúlveda Norma Hermelinda Covarrubias Amaya,"Avenida Navarrete 920 849
Nueva Palau, MICH 49399",1-715-695-5622x5687,-1.0566440493792395,-79.5590699396039
57,Montalvo Marisol Gonzalo Rael,"Avenida Colima 971 Edif. 197 , Depto. 551
Nueva Chipre, CAMP 74051-9397",(842)820-4299x2379,-0.8850619217589444,-79.53475384058382
58,Tejeda Modesto Mercedes Carrera Serrato,"Eje vial República Dominicana 950 Edif. 684 , Depto. 823
Nueva Santo Tomé y Príncipe, NAY 20633",09681119513,-0.864976846644324,-79.36762469922238
59,Oquendo Lic. Zacarías Ávalos,"Continuación Baja California 663 Edif. 401 , Depto. 245
Vieja Portugal, MEX 12018",816.944.4775x05099,-1.1245611179311648,-79.39406724528139
60,Carrión Ramón Tafoya,"Boulevard Norte Grijalva 607 Interior 502
Nueva Indonesia, MEX 17861",+52(9)8338273829,-0.8969003507667814,-79.32439501288947
61,Alba Lic. Yuridia Oquendo,"Pasaje Briones 663 481
San Teodoro los bajos, VER 13032",(437)576-0317x77937,-0.9410284913548838,-79.38318399462952
62,Varela Virginia Ilse Laureano Barajas,"Calzada Sur Centeno 431 618
San Eric de la Montaña, MEX 68930-0289",465.273.7304,-1.2104756074187886,-79.37818804173446
63,Sarabia Eloy Mariano Bétancourt Bañuelos,"Eje vial Sinaloa 451 Edif. 067 , Depto. 313
Vieja Haití, AGS 30165",316-614-5747x0138,-1.0507479324925653,-79.2623423826066
64,Razo Sr(a). Fidel Montalvo,"Privada Norte Castro 059 Interior 336
San Verónica los altos, DF 39662-7920",+43(2)1403202519,-0.8382943694083753,-79.51677631342953
65,Barrera Cornelio Nájera Crespo,"Viaducto Norte Delgadillo 779 Edif. 324 , Depto. 194
Vieja Sri Lanka, MICH 22419-8448",(420)758-5859,-1.0319796889878936,-79.49705921956821
66,Almaraz Pamela Palomo Ontiveros,"Ampliación Escobedo 633 Edif. 522 , Depto. 151
Vieja Nueva Zelandia, TAB 34293-5417",+86(6)1800530550,-1.1853774360223992,-79.53670984889247
67,Mena Araceli Teresa Arenas Sierra,"Eje vial Puga 975 Interior 565
San Javier de la Montaña, NAY 01564-0761",048-158-4191x637,-1.2281760379012434,-79.48937539538532
68,Rosas Cornelio Diana Regalado Peña,"Callejón Nuevo León 681 Edif. 647 , Depto. 150
San Lorenzo los altos, QRO 69155-6864",+83(9)1192108085,-1.2283096499137702,-79.49316409669206
69,Garza Alicia Elvira Cavazos Curiel,"Pasaje Nuevo León 657 875
Nueva Marruecos, YUC 62784-5658",878-835-1375,-0.9994241211615487,-79.64715894530842
70,Casas Alejandro Madrigal Rojas,"Corredor Salcido 519 Edif. 195 , Depto. 787
Nueva Etiopía, NAY 63391",860.942.3120x394,-0.8361248949743405,-79.37377243423174
71,Arce Alberto Octavio Razo,"Privada Hidalgo 924 Edif. 332 , Depto. 681
San Samuel los bajos, CHIH 65382-7367",(117)080-0494x4218,-0.9592887419219082,-79.28808572295884
72,Mateo Mtro. Benjamín Ojeda,"Circuito Nuevo León 440 Edif. 459 , Depto. 125
Vieja Swazilandia, COL 53374",491.699.0796x2888,-1.1575383008102804,-79.44351526575024
73,Preciado Carlota Huerta,"Boulevard Arce 070 Edif. 881 , Depto. 862
Nueva Filipinas, CAMP 39738",411.736.1881,-1.1295186574440523,-79.36790312286124
74,Serrano Ing. Zeferino Carrillo,"Boulevard Sonora 931 Edif. 982 , Depto. 999
Vieja Camboya, COL 81200",(758)321-4762x059,-0.9522593256868647,-79.28035139701028
75,Duarte Raquel Barajas,"Callejón Tlaxcala 466 Interior 746
San Zeferino los bajos, PUE 37441",(401)276-7921x36993,-1.0759264062122438,-79.49686808927753
76,Barragán Sr(a). Hilda Montaño,"Cerrada Kenya 722 557
Vieja Mauricio, NAY 48226-1002",(540)681-0398x7083,-1.2327700973678997,-79.41645696729726
77,Santiago Guillermo Luis Miguel Valenzuela,"Viaducto Kenya 009 Edif. 268 , Depto. 135
San Oswaldo los altos, Q. ROO 20002",06278775364,-0.8740064264822974,-79.5968314416315
78,Acuña Aldonza Saldaña Hurtado,"Calle Rivas 676 318
San Beatriz los altos, Q. ROO 47039-9325",05275660157,-1.1958178405399909,-79.42647899252624
79,Segovia Jos Verduzco,"Viaducto Ruelas 636 199
San Omar los bajos, COL 90759",402-632-9326,-1.0305347425422449,-79.3571802095914
80,Salgado Felix Gabriel Montes,"Peatonal Norte Barraza 415 622
San Iván de la Montaña, BCS 24570-1233",03044224371,-0.8144102896970835,-79.49767704682179
81,Rendón Graciela Hidalgo Rivas,"Avenida Rumania 707 Interior 640
San Asunción de la Montaña, MOR 18445-7398",(443)959-7738x85869,-0.8165812336223277,-79.49707940798855
82,Rascón Verónica Quiñones Granados,"Calzada Vanuatu 210 103
San Guillermo de la Montaña, SON 87759",(537)415-0382x65924,-1.0690829061257672,-79.2695271531419
83,Mota Marisol Carolina González Laboy,"Retorno Sur Ochoa 595 Edif. 841 , Depto. 672
San Jerónimo los altos, TAB 82433",1-432-261-4373x808,-0.8646646933437744,-79.44754698199503
84,Barajas Eduardo Chapa,"Diagonal Australia 263 Edif. 933 , Depto. 807
San Estefanía de la Montaña, TAB 55246-7276",(887)655-9716x786,-0.9807308034825143,-79.59652389900775
85,Reynoso Marisol Nelly Matos Franco,"Callejón Baja California 842 071
San Miriam de la Montaña, ZAC 16500-9694",285.502.8465,-1.184244263594595,-79.38019459556418
86,Acuña Pascual Manuel Zelaya Orellana,"Calzada Jamaica 454 891
San Benito los altos, MOR 57808-7151",+39(1)1973964390,-1.203795462929601,-79.44453664253992
87,Alcala Miguel Olivia Nava,"Andador Seychelles 828 Interior 753
Nueva Somalia, DGO 09285",240.736.2604x79311,-0.9948364536255133,-79.24100251719358
88,Domínguez Claudio Teresa Figueroa Parra,"Privada Sur Naranjo 828 Edif. 507 , Depto. 478
Nueva Luxemburgo, DGO 46989-5928",01969629236,-0.9142415709190519,-79.34378863850337
89,Gutiérrez Karla Espino Villarreal,"Cerrada Ghana 397 Edif. 292 , Depto. 785
San Cecilia los bajos, MICH 06511-0811",09299444330,-1.012856943774847,-79.39169153949068
90,Balderas María Teresa Samuel Ruiz Cotto,"Diagonal República Centroafricana 702 Edif. 992 , Depto. 276
San Aida de la Montaña, TLAX 83735",(307)828-5611,-0.9796999816370342,-79.39076567315101
91,Ochoa Óscar Haro Rivas,"Periférico Quintana Roo 752 486
San Gilberto los altos, NL 65746",1-985-921-5953x5441,-1.0190969169098159,-79.6153950642066
92,Prado Violeta Micaela Méndez,"Andador Sinaloa 132 068
San Victoria los bajos, SON 94637",+32(0)9892049020,-0.9173191708601994,-79.57619891540777
93,Arevalo Sr(a). Karina Sanches,"Periférico Arroyo 148 Interior 283
Nueva Croacia, Q. ROO 89592-0303",500.948.6772x19160,-0.9354757577882283,-79.48452801106716
94,Mendoza Antonia Graciela Moreno,"Avenida Sur Merino 925 311
Vieja Austria, COL 82194",600.257.8377x2490,-1.0394931872053172,-79.43580315066579
95,Solís Ing. Reina Chapa,"Peatonal Bolivia 920 595
Vieja Andorra, Q. ROO 33465-1879",626.747.4840x5805,-1.030640486483693,-79.61335079030034
96,Ocasio Sonia Barrera,"Calzada Cano 512 953
Nueva Islas Marshall, PUE 03841",(379)895-5048x30263,-0.9281501911160501,-79.26229595667336
97,Ochoa José María Fernando Mejía,"Prolongación Cabo Verde 433 Edif. 995 , Depto. 900
Vieja Zimbabwe, MEX 70320",(196)014-3096x7409,-1.0141850274616062,-79.29663516876342
98,Vergara Mtro. Leticia Granado,"Corredor Sur Sepúlveda 506 Edif. 185 , Depto. 499
San Esmeralda de la Montaña, JAL 46852",1-235-431-6864x8684,-1.109367375584005,-79.51141612699729
99,Alemán Esparta Alonso Cardenas,"Andador Nuevo León 402 Edif. 598 , Depto. 748
Nueva Arabia Saudita, DF 70634-3754",01987758220,-1.1644951272777053,-79.36197766354766
100,de la O René Saavedra,"Retorno Sandoval 446 Edif. 114 , Depto. 396
Nueva Bangladesh, OAX 83548-9415",(271)437-6363x169,-1.1300474154035407,-79.62084065075415
101,Tamayo Jaqueline Rosas Adame,"Andador Tamaulipas 382 573
San Eduardo los altos, SON 09659",289-167-0296,-0.8291864065834957,-79.38836939735428
102,Ozuna Roberto Sotelo Soria,"Avenida Iraq 391 Edif. 436 , Depto. 328
Vieja San Vicente y las Granadinas, MICH 87170-6869",+71(2)7895140546,-1.0251765890714197,-79.24433464240883
103,Mejía Jorge Luis Angulo,"Cerrada Chihuahua 179 170
Vieja República Federal Democrática de Nepal, OAX 91981",412-893-6296,-0.9232097923447942,-79.40452373651793
104,Baca Marisol Felipe Bernal,"Cerrada Reynoso 658 Edif. 453 , Depto. 831
Nueva Haití, YUC 12281",+21(2)8139850250,-1.1518966718829573,-79.50918633437875
105,Montoya Gregorio Estévez Camacho,"Pasaje Salcedo 630 Edif. 173 , Depto. 103
Vieja Islandia, CHIS 86808",1-065-522-0289,-0.8272603732166958,-79.41739041813905
106,Prado Luz Ruby Correa,"Viaducto Quintana Roo 291 550
San Olivia de la Montaña, CHIS 80895",1-236-683-0295x786,-0.8176216666453839,-79.4175294317351
107,Farías Ernesto Elena Mena Roque,"Cerrada Swazilandia 764 716
Vieja Tailandia, HGO 57362",+91(1)0323004928,-1.0680861285972818,-79.59271282645474
108,Barela Dr. Pilar Galarza,"Pasaje Miramontes 253 Edif. 609 , Depto. 838
Vieja Venezuela, DGO 86741-2156",381.808.9903x8324,-1.084675801927205,-79.65148401744341
109,Arriaga Victoria Abraham Gamboa Grijalva,"Diagonal Sur Cortez 399 047
Nueva Granada, DF 63337",514-733-8878,-0.8185923537819269,-79.39823991136313
110,Aparicio Olga Estela Echeverría,"Cerrada Colunga 522 184
Vieja Eslovaquia, DF 65286-8342",(837)991-2468x90022,-1.0261020973750743,-79.50592246627545
111,Zambrano Sofía Sandoval Piña,"Diagonal Norte Segovia 059 Interior 971
Nueva Antigua y Barbuda, QRO 29989",+49(8)3433907474,-1.000449252713314,-79.32587399066598
112,Arriaga Mariana Elvira Villareal Méndez,"Avenida Cadena 703 Edif. 859 , Depto. 691
Nueva Madagascar, COAH 92106-7782",(714)597-1889x193,-1.1397910347837275,-79.38816785877734
113,Valdivia Ing. Gabino Brito,"Peatonal Apodaca 383 Interior 451
Nueva Afganistán, ZAC 29127",263-384-9268x0384,-0.9295814218037904,-79.34689931905785
114,Orta Ángela Casares,"Circunvalación Botswana 710 Edif. 177 , Depto. 296
San Jesús los bajos, DGO 49985-3198",+65(9)2937925859,-1.0944493180530765,-79.37114874949913
115,Herrera Amador Velasco,"Ampliación Sur Rivero 933 450
Vieja Papua Nueva Guinea, PUE 09738",1-544-845-5418x929,-0.9557741275884439,-79.61951505808788
116,Toledo Ing. Daniel Gracia,"Ampliación Almaraz 439 Interior 296
Nueva Guyana, TAB 18182-9823",1-601-935-5603,-1.0411962167046178,-79.3425061457882
117,Salgado Sr(a). Olga Tamayo,"Circunvalación Galván 481 Interior 088
Nueva Gambia, GRO 40750",1-553-970-6412x2726,-1.1178851125566034,-79.51792109461982
118,Rolón Sessa Rebeca Sáenz Amador,"Calzada Michoacán de Ocampo 264 Edif. 661 , Depto. 329
San Amalia los altos, TLAX 37519-6390",1-481-660-7265,-0.9624666301217173,-79.32494562257783
119,Acuña Aurelio Porfirio Quintanilla,"Corredor Norte Huerta 370 Edif. 794 , Depto. 698
San Conchita los altos, MOR 66693-6624",134.626.5213x8433,-0.8443777083490045,-79.48019749416801
120,Torres Mauro Alvaro Cabán Carrasco,"Diagonal Norte de la Torre 674 Interior 352
Vieja Israel, MEX 12046",1-974-957-2089,-0.9951812340484304,-79.24162755252372
121,Jaramillo Concepción Patricia Durán,"Avenida Yucatán 822 625
Nueva Serbia, AGS 04603",1-960-694-2759x4290,-0.8784232595911403,-79.58428506647358
122,Alcaraz Sofía Malave Narváez,"Eje vial Turkmenistán 535 Interior 727
Nueva Singapur, SIN 56538-1604",170-790-8475x1812,-1.0336066150128138,-79.32111435427943
123,Pineda Fabiola Araceli Bernal,"Retorno Eslovenia 351 Interior 701
San Modesto los bajos, JAL 71551",(108)597-1001,-0.9989631918753571,-79.49705897861168
124,Bahena Sr(a). Ernesto Ulibarri,"Viaducto Iglesias 140 696
San Teodoro los bajos, QRO 29743",1-676-693-4599x77974,-0.839066287154282,-79.45766681856993
125,Alejandro Salma Verónica Munguía Gaitán,"Prolongación Sur Abreu 713 Interior 126
Vieja Francia, GTO 54401-9978",403-247-4932x7992,-0.8362431147879377,-79.54260975187478
126,Acosta Carla Ivonne Rico Montemayor,"Avenida Norte Mateo 950 607
San Leonel los altos, DF 10880",519.106.2853,-0.9736603976264194,-79.3760256411962
127,Figueroa Pamela Francisco Javier Ruiz Flórez,"Continuación Sosa 869 416
San Humberto los bajos, MOR 08365-0321",1-439-096-2359,-0.982184540675323,-79.47846063990676
128,Salas Tomás Beatriz Naranjo,"Andador Belice 658 412
San Ramiro de la Montaña, TAB 65442-7193",+25(3)1505852806,-0.8553230727574634,-79.33050312661796
129,Salcido Miguel Lourdes Garay,"Retorno Malawi 364 Edif. 088 , Depto. 788
San Berta de la Montaña, AGS 70716-8633",869.859.4872x277,-0.9404167064170211,-79.66869478944858
130,Hidalgo Espartaco Víctor Arenas,"Circuito Prieto 576 Interior 000
San Manuel los bajos, MICH 05152",023-017-2285,-0.9354642971636359,-79.52437205972863
131,Robles Dr. Estefanía Botello,"Ampliación República Unida de Tanzanía 859 Interior 467
Nueva Honduras, GRO 78152-7857",607.958.2317x1569,-0.9250191304877046,-79.44049019876675
132,Piña Ing. Elena Saiz,"Cerrada Panamá 733 Interior 204
Vieja Sierra Leona, NAY 64250",(811)084-7370,-1.0186915371803646,-79.63198181654873
133,Toledo Carla Cecilia Luevano Montalvo,"Pasaje Norte Saldaña 778 894
San Zeferino los altos, DGO 31632",316.617.2379x570,-1.168857490904858,-79.6282013586114
134,Quintanilla Rubén Noemí Canales,"Avenida Baja California Sur 638 Interior 173
Vieja Benin, QRO 26664",793-265-9462x01951,-1.0479467148478794,-79.55895696356323
135,Saucedo Lic. Gloria Riojas,"Continuación Bosnia y Herzegovina 309 773
Vieja República Árabe Siria, YUC 13217-8811",06837273374,-1.0958164916255977,-79.35731615016608
136,Niño Homero Rosas,"Ampliación Casillas 258 Edif. 504 , Depto. 626
San Claudio de la Montaña, COL 16144-6850",1-936-868-3328x554,-0.8753190629203051,-79.38667857283542
137,Duarte Abelardo Jonás Rosado Carrillo,"Diagonal Norte Blanco 038 512
San Pamela los bajos, NL 76283-0833",1-886-864-8703,-0.967768096903282,-79.41911662667289
138,Vela María Elena Juan Ontiveros Gastélum,"Peatonal Saldivar 401 Edif. 938 , Depto. 989
Vieja Letonia, MICH 01815-4053",+21(8)2161912091,-1.0694309434346636,-79.52834501115139
139,Haro Cristina Francisca Robledo,"Continuación Sur Montenegro 105 Interior 520
San Esther los altos, PUE 15555",(819)326-4435,-1.1080231181130318,-79.39724726065238
140,Henríquez Natividad Blanca Granado Ballesteros,"Andador Norte Pabón 772 Edif. 968 , Depto. 208
San Mauricio los bajos, GTO 57067-9250",752-058-2355,-1.0565647417836384,-79.6229661903001
141,Montañez Vanesa Dolores Tirado,"Callejón Tamaulipas 445 Interior 104
Vieja Croacia, TAB 62415-1783",(427)244-6935x096,-1.167220131587853,-79.59650210732468
142,Carrillo Ricardo Nadia Soria,"Corredor Maldivas 290 Edif. 051 , Depto. 348
Nueva Jordania, BC 39291",+99(0)7032135438,-0.8325314076076863,-79.35942185724645
143,Guevara Rosa Rosas,"Calzada Tejeda 930 292
San Miguel los bajos, DGO 28821",087-064-3774,-1.0283748818753626,-79.68080869413939
144,Aguilar Mauricio Miguel Ángel Camarillo Portillo,"Privada Eritrea 846 Interior 296
Nueva Egipto, CHIH 61037-4655",+47(4)4887035386,-1.1199475195055595,-79.4999010142251
145,Pizarro Juana Rodrígez Aguilera,"Circuito Zacatecas 117 Edif. 479 , Depto. 702
San Hugo los altos, DF 85491-2370",02798309097,-1.1584513337165716,-79.59116614234613
146,Corona Ing. Darío Loera,"Andador Vigil 390 Edif. 883 , Depto. 267
Nueva Kenya, CHIH 79073",04146175143,-0.9887488933539554,-79.38090121621207
147,Mayorga Samuel Mayorga,"Circunvalación Hidalgo 748 Edif. 374 , Depto. 116
Vieja Kiribati, AGS 36939",457-316-1944x2281,-0.8951684557768801,-79.37744027033652
148,Sarabia Sr(a). Arturo Mata,"Ampliación Morelos 963 178
San Emiliano los bajos, CHIS 20376-0662",1-961-029-8908,-1.0266565897170001,-79.56790479983933
149,Velázquez Berta María Luisa Zelaya,"Avenida Norte Miranda 031 Interior 174
Nueva Kenya, SLP 05616",05569190294,-1.0781265462545204,-79.36111655087147
150,Laureano Ariadna Tijerina del Valle,"Continuación Sur Aguayo 141 Edif. 618 , Depto. 765
Nueva Mauricio, NL 80011",02617637798,-1.173316168034436,-79.30114499963737
151,Baeza Israel Cecilia Zelaya Robles,"Andador Lituania 804 Interior 662
San Gonzalo los bajos, VER 58429",(432)868-7444,-1.174381345705838,-79.33482455856
152,Alba Ofelia Gregorio Pulido,"Periférico Hernádez 574 Edif. 263 , Depto. 158
Vieja Qatar, SON 68615-2260",04022999148,-0.8810390370477448,-79.55349652371818
153,Maestas Esparta Leonor Cisneros Velasco,"Callejón Santana 059 Interior 790
Vieja Qatar, SLP 85622-0046",(235)127-2475x354,-1.1022538673005131,-79.42509455873657
154,Roque María José Zamudio Posada,"Peatonal Camarillo 630 Edif. 593 , Depto. 744
Nueva Canadá, TAMPS 76422",723-260-4417,-0.9595579575300923,-79.32760637606579
155,Rivera Aida Sarabia Limón,"Circuito Marroquín 902 Interior 625
San Camila los altos, DF 11378-7570",1-581-481-4595,-1.0552928777288395,-79.34450392644803
156,Martínez Violeta Anaya,"Calzada Letonia 075 Edif. 428 , Depto. 429
San Vicente los bajos, TAB 13865",(340)412-1283x014,-1.0595411763280236,-79.38338369309048
